transform,status,x_mm,y_mm,z_mm,rz_deg,ry_deg,rx_deg,status_reason,notes
T_C0_C1,PASS,204.725,-144.025,766.948,-172.523,-38.393,159.676,derived from PASS T_base_C0 and T_base_C1,derived from T_base_C0 and T_base_C1
T_C0_C3,PASS,-510.556,-109.321,673.081,164.817,69.405,151.809,derived from T_base_C0 and T_base_C3,derived from T_base_C0 and T_base_C3
