marker_id,num_observations,current_face,current_perm,best_face,best_perm,current_rank,num_inliers,selected_single,accepted_single,mean_dt_mm,mean_dr_deg,mean_reproj_px,seen_in_cameras,root_cause
0,44,+Z,p0123,+Z,flip_anti,16,0,13,0,150.61,105.04,0.478,"cam2 x12, cam1 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; it never reaches the global inlier threshold; no selected single-marker candidate was accepted"
1,28,+Y,p1032,-Z,r270,98,0,21,0,181.86,47.54,0.305,"cam1 x10, cam3 x8, cam0 x2, cam2 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (98) against alternatives such as -Z/r270; it never reaches the global inlier threshold; no selected single-marker candidate was accepted"
2,34,-X,p3210,+Z,flip_anti,136,0,11,0,169.14,98.25,0.281,"cam3 x3, cam0 x3, cam2 x3, cam1 x2","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (136) against alternatives such as +Z/flip_anti; it never reaches the global inlier threshold; no selected single-marker candidate was accepted"
3,29,-Y,p0321,-Z,r180,158,0,15,0,149.14,101.32,0.173,"cam0 x7, cam3 x6, cam1 x2",current face/order ranks poorly (158) against alternatives such as -Z/r180; it never reaches the global inlier threshold; no selected single-marker candidate was accepted
4,28,+X,p1032,+Y,r0,54,0,9,0,168.08,111.53,0.302,"cam0 x5, cam1 x3, cam2 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (54) against alternatives such as +Y/r0; it never reaches the global inlier threshold; no selected single-marker candidate was accepted"
