entity,role,transform,solve_method,status,x_mm,y_mm,z_mm,rz_deg,ry_deg,rx_deg,error_trans_mm,error_rot_deg,support_inliers,support_total,status_reason,notes
cam2,gripper,T_gripper_cam,hand-eye:HORAUD,PASS,35.198,31.276,-115.038,179.558,-0.444,10.365,1.914,0.394,18,18,hand-eye HORAUD: 1.91mm / 0.394deg,"gripper->camera extrinsic, 18 ChArUco frames"
cam0,fixed,T_base_C0,board-based,PASS,-435.427,144.363,101.155,-47.326,-1.582,-97.036,1.594,0.268,17,17,board-based: 1.59mm / 0.268deg,fixed camera extrinsic from ChArUco board
cam1,fixed,T_base_C1,board-based,PASS,262.041,505.017,162.447,92.574,-1.238,-102.502,1.444,0.221,17,17,board-based: 1.44mm / 0.221deg,fixed camera extrinsic from ChArUco board
cam3,fixed,T_base_C3,cube_anchor_strict,PASS,87.756,27.883,135.792,40.884,1.085,-102.359,0.000,0.000,4,4,cube_anchor_strict support=4/18 signature=[3]/ippe0,fallback from cube anchor support=4/18
cube,object,T_base_O,board_anchor,FAIL,-266.739,335.483,1.202,68.778,0.989,-90.554,6.950,0.823,8,36,cube anchor support=8/36,static cube anchor in robot base
