camera,selected_candidates,accepted_candidates,accept_rate,mean_obj_dt_mm,mean_obj_dr_deg,mean_cam_dt_mm,dominant_selected_markers,dominant_accepted_markers,root_cause
cam0,53,53,1.000,4.72,0.83,7.81,"id2+id3 x12, id4+id3 x9, id2+id1 x9","id2+id3 x12, id4+id3 x9, id2+id1 x9","camera extrinsic is stable. Remaining failure comes from cube-model inconsistency, not from the board-based camera calibration itself."
cam1,53,53,1.000,7.91,1.24,15.04,"id3+id2+id0 x12, id3+id4+id0 x11, id2+id1+id0 x8","id3+id2+id0 x12, id3+id4+id0 x11, id2+id1+id0 x8","camera extrinsic is stable. Remaining failure comes from cube-model inconsistency, not from the board-based camera calibration itself."
cam2,53,53,1.000,5.13,0.95,,"id0+id1 x6, id0+id2 x5, id0+id4 x4","id0+id1 x6, id0+id2 x5, id0+id4 x4","hand-eye is stable, but cube candidates disagree across markers. Selected poses are dominated by id0+id1 x6, id0+id2 x5, while accepted poses are only id0+id1 x6, id0+id2 x5."
cam3,53,53,1.000,18.80,2.28,12.12,"id1+id4+id0 x14, id2+id3 x9, id2+id1 x8","id1+id4+id0 x14, id2+id3 x9, id2+id1 x8","camera extrinsic is stable. Remaining failure comes from cube-model inconsistency, not from the board-based camera calibration itself."
