camera,selected_candidates,accepted_candidates,accept_rate,mean_obj_dt_mm,mean_obj_dr_deg,mean_cam_dt_mm,dominant_selected_markers,dominant_accepted_markers,root_cause
cam0,18,4,0.222,259.05,75.93,502.22,"id3 x8, id0 x4, id4 x4",id0 x4,"camera extrinsic is stable, but the dominant selected cube marker (id3 x8) is not the one that survives global checks (id0 x4). This points to marker-to-marker cube model inconsistency."
cam1,18,4,0.222,254.18,39.94,347.18,"id1 x5, id4+id1 x4, id0 x4",id4+id1 x4,"camera extrinsic is stable, but the dominant selected cube marker (id1 x5) is not the one that survives global checks (id4+id1 x4). This points to marker-to-marker cube model inconsistency."
cam2,18,4,0.222,248.59,53.70,,"id0 x10, id4 x4, id0+id1 x1","id0 x2, id4 x1, id0+id1 x1","hand-eye is stable, but cube candidates disagree across markers. Selected poses are dominated by id0 x10, id4 x4, while accepted poses are only id0 x2, id4 x1."
cam3,18,4,0.222,153.92,57.52,424.54,"id3 x7, id1 x6, id2 x3",id3 x4,"cam3 extrinsic itself is not board-verified. It depends on cube-anchor only, support 4/18, and accepted cases come from id3 x4."
