marker_id,num_observations,current_face,current_perm,best_face,best_perm,current_rank,num_inliers,selected_single,accepted_single,mean_dt_mm,mean_dr_deg,mean_reproj_px,seen_in_cameras,root_cause
0,44,-Y,p0321,+Z,flip_diag,151,8,19,6,228.69,66.25,0.165,"cam2 x10, cam0 x4, cam1 x4, cam3 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (151) against alternatives such as +Z/flip_diag"
1,28,-Z,p1032,-Z,p0123,39,5,14,0,243.06,76.71,0.346,"cam3 x6, cam1 x5, cam0 x2, cam2 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (39) against alternatives such as -Z/p0123; no selected single-marker candidate was accepted"
2,34,+Z,p1230,-Z,p0123,22,0,4,0,192.18,114.70,0.304,"cam3 x3, cam2 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (22) against alternatives such as -Z/p0123; it never reaches the global inlier threshold; no selected single-marker candidate was accepted"
3,29,+X,p0123,+Z,flip_x,56,4,17,4,202.27,62.91,0.179,"cam0 x8, cam3 x7, cam1 x2","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (56) against alternatives such as +Z/flip_x; only 4 observations reach global consensus"
4,28,-X,p1032,-Z,r0,8,5,12,1,275.65,51.77,0.287,"cam2 x4, cam0 x4, cam1 x3, cam3 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model"
