marker_id,num_observations,current_face,current_perm,best_face,best_perm,current_rank,num_inliers,selected_single,accepted_single,mean_dt_mm,mean_dr_deg,mean_reproj_px,seen_in_cameras,root_cause
0,44,+Y,p0123,+Z,r180,105,0,14,2,279.21,110.86,0.192,"cam2 x8, cam1 x4, cam3 x2","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (105) against alternatives such as +Z/r180; it never reaches the global inlier threshold"
2,34,-X,p3210,+Z,r270,139,0,21,4,242.91,144.56,0.446,"cam3 x11, cam0 x5, cam1 x4, cam2 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (139) against alternatives such as +Z/r270; it never reaches the global inlier threshold"
4,28,+X,p1032,+Z,r270,10,0,26,5,329.84,74.53,0.334,"cam1 x10, cam2 x7, cam0 x7, cam3 x2","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; it never reaches the global inlier threshold"
