transform,status,x_mm,y_mm,z_mm,rz_deg,ry_deg,rx_deg,status_reason,notes
T_C0_C1,PASS,209.212,-147.874,744.751,-170.980,-39.337,157.358,derived from PASS T_base_C0 and T_base_C1,derived from T_base_C0 and T_base_C1
T_C0_C3,FAIL,45.366,8.429,-258.061,-0.592,-0.787,-4.729,derived from T_base_C0 and T_base_C3,derived from T_base_C0 and T_base_C3
