entity,role,transform,solve_method,status,x_mm,y_mm,z_mm,rz_deg,ry_deg,rx_deg,error_trans_mm,error_rot_deg,support_inliers,support_total,status_reason,notes
cam2,gripper,T_gripper_cam,hand-eye:TSAI,FAIL,34.944,30.772,-115.010,178.638,-1.792,8.034,3.908,0.759,53,53,hand-eye TSAI: 3.91mm / 0.759deg,"gripper->camera extrinsic, 53 ChArUco frames"
cam0,fixed,T_base_C0,board-based,PASS,-430.358,109.758,106.319,-34.301,-2.816,-99.835,2.531,0.259,44,48,board_based+board_refined(a=0.64): 2.53mm / 0.259deg,fixed camera extrinsic from ChArUco board
cam1,fixed,T_base_C1,board-based,PASS,355.125,513.386,177.629,92.344,1.755,-101.852,2.529,0.272,49,51,board_based+board_refined(a=0.70): 2.53mm / 0.272deg,fixed camera extrinsic from ChArUco board
cam3,fixed,T_base_C3,board_based+board_refined(a=0.70),PASS,-296.074,930.070,121.185,-161.012,4.901,-102.562,1.944,0.283,44,52,board_based+board_refined(a=0.70) support=44/52 signature=[]/n/a + verified provisional,fallback from cube anchor support=44/52
cube,object,T_base_O,cube_consensus_fixed_cams,FAIL,-148.566,467.567,0.357,154.359,0.256,0.333,36.532,52.987,53,53,compatibility average across 7 set_index groups; use T_base_O_set*,compatibility average across set anchors
