transform,status,x_mm,y_mm,z_mm,rz_deg,ry_deg,rx_deg,status_reason,notes
T_C0_C1,FAIL,142.796,28.576,1097.763,176.081,-10.515,-174.063,derived from PASS T_base_C0 and T_base_C1,derived from T_base_C0 and T_base_C1
T_C0_C3,FAIL,-363.900,-113.802,716.310,160.622,73.187,152.751,derived from T_base_C0 and T_base_C3,derived from T_base_C0 and T_base_C3
