marker_id,num_observations,current_face,current_perm,best_face,best_perm,current_rank,num_inliers,selected_single,accepted_single,mean_dt_mm,mean_dr_deg,mean_reproj_px,seen_in_cameras,root_cause
0,119,+Z,p0123,+Z,r0,2,119,2,2,11.38,2.25,0.166,cam2 x2,current mapping is near-best for this session
1,98,+X,p0123,-Z,r270,55,0,6,6,19.37,90.04,0.209,cam1 x6,current face/order ranks poorly (55) against alternatives such as -Z/r270; it never reaches the global inlier threshold
2,90,+Y,p0123,-Z,r0,123,89,0,0,15.63,1.92,0.167,,current face/order ranks poorly (123) against alternatives such as -Z/r0; no selected single-marker candidate was accepted
3,99,-X,p0123,+Z,r90,103,0,0,0,13.15,89.89,0.147,,current face/order ranks poorly (103) against alternatives such as +Z/r90; it never reaches the global inlier threshold; no selected single-marker candidate was accepted
4,99,-Y,p0123,+Z,r180,173,0,0,0,13.74,179.26,0.225,,current face/order ranks poorly (173) against alternatives such as +Z/r180; it never reaches the global inlier threshold; no selected single-marker candidate was accepted
