marker_id,num_observations,current_face,current_perm,best_face,best_perm,current_rank,num_inliers,selected_single,accepted_single,mean_dt_mm,mean_dr_deg,mean_reproj_px,seen_in_cameras,root_cause
0,44,+Z,p0123,+Z,flip_anti,17,0,16,4,270.50,104.27,0.478,"cam2 x12, cam0 x2, cam1 x1, cam3 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; it never reaches the global inlier threshold"
1,28,+Y,p1032,-Z,r270,98,9,16,7,224.92,49.55,0.305,"cam3 x8, cam1 x5, cam0 x2, cam2 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (98) against alternatives such as -Z/r270"
2,34,-X,p3210,+Z,flip_anti,103,0,13,1,264.95,95.29,0.281,"cam0 x4, cam1 x4, cam3 x3, cam2 x2","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (103) against alternatives such as +Z/flip_anti; it never reaches the global inlier threshold"
3,29,-Y,p0321,+Y,r0,158,0,13,2,304.05,103.22,0.181,"cam3 x5, cam0 x4, cam1 x3, cam2 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (158) against alternatives such as +Y/r0; it never reaches the global inlier threshold"
4,28,+X,p1032,+Y,r0,62,0,13,1,290.89,116.63,0.292,"cam0 x6, cam1 x4, cam2 x2, cam3 x1","2D corner fit is good, but the 3D pose is inconsistent with the global cube model; current face/order ranks poorly (62) against alternatives such as +Y/r0; it never reaches the global inlier threshold"
