transform,status,x_mm,y_mm,z_mm,rz_deg,ry_deg,rx_deg,status_reason,notes
T_C0_C1,FAIL,283.964,-150.021,807.685,-164.433,-43.213,145.909,derived from PASS T_base_C0 and T_base_C1,derived from T_base_C0 and T_base_C1
T_C0_C3,FAIL,-428.744,-160.916,688.774,153.032,58.938,139.867,derived from T_base_C0 and T_base_C3,derived from T_base_C0 and T_base_C3
