camera,selected_candidates,accepted_candidates,accept_rate,mean_obj_dt_mm,mean_obj_dr_deg,mean_cam_dt_mm,dominant_selected_markers,dominant_accepted_markers,root_cause
cam0,18,4,0.222,283.31,58.82,440.06,"id3 x6, id3+id2 x5, id4 x5",id3 x4,"camera extrinsic is stable. Remaining failure comes from cube-model inconsistency, not from the board-based camera calibration itself."
cam1,18,4,0.222,265.18,58.58,418.63,"id1 x9, id4 x4, id0 x2",id1 x4,"camera extrinsic is stable. Remaining failure comes from cube-model inconsistency, not from the board-based camera calibration itself."
cam2,18,4,0.222,271.59,58.56,,"id0 x9, id4 x4, id0+id2 x3","id0+id2 x2, id4 x1, id0 x1","hand-eye is stable, but cube candidates disagree across markers. Selected poses are dominated by id0 x9, id4 x4, while accepted poses are only id0+id2 x2, id4 x1."
cam3,18,4,0.222,291.64,60.16,596.81,"id1 x9, id2 x7, id0 x1",id1 x4,"camera extrinsic is stable. Remaining failure comes from cube-model inconsistency, not from the board-based camera calibration itself."
