camera,selected_candidates,accepted_candidates,accept_rate,mean_obj_dt_mm,mean_obj_dr_deg,mean_cam_dt_mm,dominant_selected_markers,dominant_accepted_markers,root_cause
cam0,18,4,0.222,269.76,58.77,419.34,"id2 x9, id4 x7, id1 x2",id2 x4,"camera extrinsic is stable. Remaining failure comes from cube-model inconsistency, not from the board-based camera calibration itself."
cam1,18,4,0.222,264.86,34.40,300.51,"id1 x10, id4 x6, id3 x2",id1 x4,"camera extrinsic is stable. Remaining failure comes from cube-model inconsistency, not from the board-based camera calibration itself."
cam2,18,4,0.222,261.70,66.06,,"id2 x7, id4 x5, id0 x4","id2 x2, id4 x1, id1 x1","hand-eye is stable, but cube candidates disagree across markers. Selected poses are dominated by id2 x7, id4 x5, while accepted poses are only id2 x2, id4 x1."
cam3,18,4,0.222,149.03,31.72,258.63,"id1 x9, id3 x7, id0 x2",id3 x4,"camera extrinsic is stable, but the dominant selected cube marker (id1 x9) is not the one that survives global checks (id3 x4). This points to marker-to-marker cube model inconsistency."
