mode,num_base_cameras,base_cameras,cross_camera_mean_mm,cube_reproj_mean_px,board_reproj_mean_px,mesh_rmse_mm,dimension_err_mm,pose_repeat_mm,pose_repeat_deg,handeye_pass
board_only,2,"cam0, cam1",9.22,1.590,0.402,3.69,2.66,9.76,3.326,PASS
cube_only,3,"cam0, cam1, cam3",7.25,1.590,0.402,3.66,2.75,7.48,3.104,FAIL
hybrid,3,"cam0, cam1, cam3",8.85,1.590,0.402,3.70,2.90,9.23,3.181,FAIL
