camera,selected_candidates,accepted_candidates,accept_rate,mean_obj_dt_mm,mean_obj_dr_deg,mean_cam_dt_mm,dominant_selected_markers,dominant_accepted_markers,root_cause
cam0,18,0,0.000,159.28,58.56,499.34,"id3+id2 x5, id3+id2+id0 x4, id4 x4",,"camera extrinsic is stable, but no selected cube candidate survived the object/camera thresholds. Dominant selected markers: id3+id2 x5, id3+id2+id0 x4."
cam1,18,0,0.000,163.86,60.11,411.39,"id4+id1 x4, id1+id2+id0 x4, id0 x2",,"camera extrinsic is stable, but no selected cube candidate survived the object/camera thresholds. Dominant selected markers: id4+id1 x4, id1+id2+id0 x4."
cam2,18,0,0.000,158.25,58.98,,"id0 x5, id0+id2 x4, id0+id4 x2",,"hand-eye is stable, but cube candidates disagree across markers. Selected poses are dominated by id0 x5, id0+id2 x4, while accepted poses are only none."
cam3,18,0,0.000,160.25,58.99,472.96,"id1 x5, id3+id2 x4, id2 x2",,"camera extrinsic is stable, but no selected cube candidate survived the object/camera thresholds. Dominant selected markers: id1 x5, id3+id2 x4."
